Country,Cumulative number of cases,Local chains of transmission,date,Number of new cases since last WHO update,Date of last report,Number recovered,Date last probable case reported,Date for which cumulative number of cases is current,Number_of_deaths
Germany,1,None*,2003-03-17,NA,NA,NA,NA,NA,0
Canada,8,Yes,2003-03-17,NA,NA,NA,NA,NA,2
Singapore,20,Yes,2003-03-17,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,95,Yes,2003-03-17,NA,NA,NA,NA,NA,1
Switzerland,2,To be determined,2003-03-17,NA,NA,NA,NA,NA,0
Thailand,1,None*,2003-03-17,NA,NA,NA,NA,NA,0
Viet Nam,40,Yes,2003-03-17,NA,NA,NA,NA,NA,1
Total,167,NA,2003-03-17,NA,NA,NA,NA,NA,4
Germany,2,None*,2003-03-18,NA,NA,NA,NA,NA,0
Canada,8,Yes,2003-03-18,NA,NA,NA,NA,NA,2
China,NA, ,2003-03-18,NA,NA,NA,NA,NA,NA
Singapore,23,Yes,2003-03-18,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,123,Yes,2003-03-18,NA,NA,NA,NA,NA,1
Taiwan China,3,Yes,2003-03-18,NA,NA,NA,NA,NA,0
Thailand,1,None*,2003-03-18,NA,NA,NA,NA,NA,0
Viet Nam,57,Yes,2003-03-18,NA,NA,NA,NA,NA,1
Slovenia,1,None*,2003-03-18,NA,NA,NA,NA,NA,0
United Kingdom,1,None*,2003-03-18,NA,NA,NA,NA,NA,0
Total,219, ,2003-03-18,NA,NA,NA,NA,NA,4
Canada,8,Yes,2003-03-19,NA,NA,NA,NA,NA,2
China,NA, ,2003-03-19,NA,NA,NA,NA,NA,NA
Germany,1,None*,2003-03-19,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,150,Yes,2003-03-19,NA,NA,NA,NA,NA,5
Singapore,31,Yes,2003-03-19,NA,NA,NA,NA,NA,0
Slovenia,1,None*,2003-03-19,NA,NA,NA,NA,NA,0
Spain,1,To be determined,2003-03-19,NA,NA,NA,NA,NA,0
Taiwan China,3,Yes,2003-03-19,NA,NA,NA,NA,NA,0
Thailand,1,None*,2003-03-19,NA,NA,NA,NA,NA,0
United Kingdom,1,None*,2003-03-19,NA,NA,NA,NA,NA,0
United States,11,To be determined,2003-03-19,NA,NA,NA,NA,NA,0
Viet Nam,56,Yes,2003-03-19,NA,NA,NA,NA,NA,2
Total,264, ,2003-03-19,NA,NA,NA,NA,NA,9
Canada,9,Yes,2003-03-20,NA,NA,NA,NA,NA,2
China,NA, ,2003-03-20,NA,NA,NA,NA,NA,NA
Germany,1,None*,2003-03-20,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,173,Yes,2003-03-20,NA,NA,NA,NA,NA,6
Singapore,34,Yes,2003-03-20,NA,NA,NA,NA,NA,0
Slovenia,1,None*,2003-03-20,NA,NA,NA,NA,NA,0
Spain,1,To be determined,2003-03-20,NA,NA,NA,NA,NA,0
Switzerland,7,To be determined,2003-03-20,NA,NA,NA,NA,NA,0
Taiwan China,4,Yes,2003-03-20,NA,NA,NA,NA,NA,0
Thailand,1,None*,2003-03-20,NA,NA,NA,NA,NA,0
United Kingdom,2,To be determined,2003-03-20,NA,NA,NA,NA,NA,0
United States,11,To be determined,2003-03-20,NA,NA,NA,NA,NA,0
Viet Nam,62,Yes,2003-03-20,NA,NA,NA,NA,NA,2
Total,306, ,2003-03-20,NA,NA,NA,NA,NA,10
Canada,9, Yes,2003-03-21,NA,NA,NA,NA,NA,2
China,NA, ,2003-03-21,NA,NA,NA,NA,NA,NA
Germany,1, None*,2003-03-21,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,203, Yes,2003-03-21,NA,NA,NA,NA,NA,6
Italy,1, None*,2003-03-21,NA,NA,NA,NA,NA,0
Republic of Ireland,1, None*,2003-03-21,NA,NA,NA,NA,NA,0
Singapore,39, Yes,2003-03-21,NA,NA,NA,NA,NA,0
Slovenia,1, None*,2003-03-21,NA,NA,NA,NA,NA,0
Spain,1, None*,2003-03-21,NA,NA,NA,NA,NA,0
Switzerland,7, To be determined,2003-03-21,NA,NA,NA,NA,NA,0
Taiwan China,6, Yes,2003-03-21,NA,NA,NA,NA,NA,0
Thailand,4, To be determined,2003-03-21,NA,NA,NA,NA,NA,0
United Kingdom,2, None*,2003-03-21,NA,NA,NA,NA,NA,0
United States,13, To be determined,2003-03-21,NA,NA,NA,NA,NA,0
Viet Nam,62, Yes,2003-03-21,NA,NA,NA,NA,NA,2
Total,350, ,2003-03-21,NA,NA,NA,NA,NA,10
Canada,9, Yes,2003-03-22,NA,NA,NA,NA,NA,2
China,NA, ,2003-03-22,NA,NA,NA,NA,NA,NA
Germany,2, None*,2003-03-22,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,222, Yes,2003-03-22,NA,NA,NA,NA,NA,7
Italy,2, None*,2003-03-22,NA,NA,NA,NA,NA,0
Republic of Ireland,1, None*,2003-03-22,NA,NA,NA,NA,NA,0
Singapore,44, Yes,2003-03-22,NA,NA,NA,NA,NA,0
Slovenia,1, None*,2003-03-22,NA,NA,NA,NA,NA,0
Spain,1, None*,2003-03-22,NA,NA,NA,NA,NA,0
Switzerland,7, To be determined,2003-03-22,NA,NA,NA,NA,NA,0
Taiwan China,6, Yes,2003-03-22,NA,NA,NA,NA,NA,0
Thailand,4, None*,2003-03-22,NA,NA,NA,NA,NA,0
United Kingdom,2, None*,2003-03-22,NA,NA,NA,NA,NA,0
United States,22, To be determined,2003-03-22,NA,NA,NA,NA,NA,0
Viet Nam,63, Yes,2003-03-22,NA,NA,NA,NA,NA,2
Total,386, ,2003-03-22,NA,NA,NA,NA,NA,11
Canada,11, Yes,2003-03-24,NA,NA,NA,NA,NA,3
China,NA, ,2003-03-24,NA,NA,NA,NA,NA,NA
France,1, None,2003-03-24,NA,NA,NA,NA,NA,0
Germany,4, None,2003-03-24,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,260, Yes,2003-03-24,NA,NA,NA,NA,NA,10
Italy,2, None,2003-03-24,NA,NA,NA,NA,NA,0
Republic of Ireland,1, None,2003-03-24,NA,NA,NA,NA,NA,0
Singapore,65, Yes,2003-03-24,NA,NA,NA,NA,NA,0
Spain,1, None,2003-03-24,NA,NA,NA,NA,NA,0
Switzerland,2, To be determined,2003-03-24,NA,NA,NA,NA,NA,0
Taiwan China,6, Yes,2003-03-24,NA,NA,NA,NA,NA,0
Thailand,5, None,2003-03-24,NA,NA,NA,NA,NA,0
United Kingdom,3, None,2003-03-24,NA,NA,NA,NA,NA,0
United States,37, To be determined,2003-03-24,NA,NA,NA,NA,NA,0
Viet Nam,58, Yes,2003-03-24,NA,NA,NA,NA,NA,4
Total,456, ,2003-03-24,NA,NA,NA,NA,NA,17
Canada,11, Yes,2003-03-25,NA,NA,NA,NA,NA,3
China,NA, ,2003-03-25,NA,NA,NA,NA,NA,NA
France,1, None,2003-03-25,NA,NA,NA,NA,NA,0
Germany,4, None,2003-03-25,NA,NA,NA,NA,NA,0
Hong Kong Special Administrative Region of China,286, Yes,2003-03-25,NA,NA,NA,NA,NA,10
Italy,2, None,2003-03-25,NA,NA,NA,NA,NA,0
Republic of Ireland,1, None,2003-03-25,NA,NA,NA,NA,NA,0
Singapore,69, Yes,2003-03-25,NA,NA,NA,NA,NA,0
Switzerland,2, To be determined,2003-03-25,NA,NA,NA,NA,NA,0
Taiwan China,6, Yes,2003-03-25,NA,NA,NA,NA,NA,0
Thailand,5, None,2003-03-25,NA,NA,NA,NA,NA,0
United Kingdom,3, None,2003-03-25,NA,NA,NA,NA,NA,0
United States,39, To be determined,2003-03-25,NA,NA,NA,NA,NA,0
Viet Nam,58, Yes,2003-03-25,NA,NA,NA,NA,NA,4
Total,487, ,2003-03-25,NA,NA,NA,NA,NA,17
Canada,19, Yes,2003-03-26,NA,NA,NA,NA,NA,3
China Guangdong Province,792,Yes,2003-03-26,NA,NA,NA,NA,NA,31
China Hong Kong Special Administrative Region,316, Yes,2003-03-26,NA,NA,NA,NA,NA,10
China Taiwan,6, Yes,2003-03-26,NA,NA,NA,NA,NA,0
France,1, None,2003-03-26,NA,NA,NA,NA,NA,0
Germany,4, None,2003-03-26,NA,NA,NA,NA,NA,0
Italy,3, None,2003-03-26,NA,NA,NA,NA,NA,0
Republic of Ireland,2, None,2003-03-26,NA,NA,NA,NA,NA,0
Singapore,74, Yes,2003-03-26,NA,NA,NA,NA,NA,1
Switzerland,2, To be determined,2003-03-26,NA,NA,NA,NA,NA,0
Thailand,3, None,2003-03-26,NA,NA,NA,NA,NA,0
United Kingdom,3, None,2003-03-26,NA,NA,NA,NA,NA,0
United States,40, To be determined,2003-03-26,NA,NA,NA,NA,NA,0
Viet Nam,58, Yes,2003-03-26,NA,NA,NA,NA,NA,4
Total,1323, ,2003-03-26,NA,NA,NA,NA,NA,49
Canada,28, Yes,2003-03-27,NA,NA,NA,NA,NA,3
China,806, Yes,2003-03-27,NA,NA,NA,NA,NA,34
China Hong Kong Special Administrative Region,367, Yes,2003-03-27,NA,NA,NA,NA,NA,10
China Taiwan,6, Yes,2003-03-27,NA,NA,NA,NA,NA,0
France,1, None,2003-03-27,NA,NA,NA,NA,NA,0
Germany,4, None,2003-03-27,NA,NA,NA,NA,NA,0
Italy,2, None,2003-03-27,NA,NA,NA,NA,NA,0
Republic of Ireland,2, None,2003-03-27,NA,NA,NA,NA,NA,0
Romania,3, None,2003-03-27,NA,NA,NA,NA,NA,0
Singapore,78, Yes,2003-03-27,NA,NA,NA,NA,NA,2
Switzerland,2, To be determined,2003-03-27,NA,NA,NA,NA,NA,0
Thailand,3, None,2003-03-27,NA,NA,NA,NA,NA,0
United Kingdom,3, None,2003-03-27,NA,NA,NA,NA,NA,0
United States,45, To be determined,2003-03-27,NA,NA,NA,NA,NA,0
Viet Nam,58, Yes,2003-03-27,NA,NA,NA,NA,NA,4
Total,1408, ,2003-03-27,NA,NA,NA,NA,NA,53
Canada,29, Yes,2003-03-28,NA,NA,NA,NA,NA,3
China3,806, Yes,2003-03-28,NA,NA,NA,NA,NA,34
